品类,月份,库存量
category225,2023/6/1,4676058 
category84,2023/1/1,4421974 
category21,2023/1/1,4411095 
category84,2022/7/1,3689222 
category84,2023/2/1,3431261 
category225,2023/3/1,3133157 
category225,2022/7/1,3095300 
category225,2023/1/1,2966388 
category84,2023/6/1,2913526 
category225,2023/2/1,2890619 
category225,2022/8/1,2799741 
category225,2023/4/1,2770633 
category225,2023/5/1,2723946 
category21,2023/6/1,2708773 
category254,2023/6/1,2675098 
category84,2023/3/1,2660037 
category21,2023/2/1,2651531 
category84,2022/8/1,2505403 
category42,2022/9/1,2467824 
category225,2022/9/1,2448966 
category42,2022/8/1,2436194 
category21,2022/7/1,2379868 
category42,2023/1/1,2354761 
category42,2023/2/1,2349618 
category42,2022/7/1,2306150 
category141,2023/1/1,2260125 
category84,2022/9/1,2136638 
category84,2023/4/1,2090701 
category42,2023/3/1,2064744 
category21,2023/3/1,2062100 
category141,2022/9/1,2036315 
category254,2023/1/1,1975639 
category254,2023/5/1,1882343 
category209,2022/7/1,1864077 
category21,2022/9/1,1847483 
category84,2023/5/1,1846707 
category141,2022/8/1,1829109 
category42,2023/6/1,1808391 
category209,2022/8/1,1778521 
category21,2022/8/1,1770288 
category254,2022/7/1,1765556 
category42,2023/4/1,1763945 
category141,2023/2/1,1731460 
category141,2022/7/1,1709579 
category141,2023/3/1,1653061 
category21,2023/4/1,1625555 
category209,2022/9/1,1601044 
category254,2022/9/1,1595692 
category254,2022/8/1,1592938 
category42,2023/5/1,1588575 
category141,2023/4/1,1566902 
category254,2023/2/1,1565495 
category21,2023/5/1,1555956 
category141,2023/5/1,1486768 
category209,2023/4/1,1406055 
category254,2023/3/1,1404770 
category209,2023/5/1,1397745 
category209,2023/1/1,1326066 
category254,2023/4/1,1305514 
category141,2023/6/1,1277890 
category209,2023/2/1,1273423 
category209,2023/3/1,1256435 
category137,2023/6/1,1228225 
category2,2023/6/1,1223950 
category308,2023/6/1,1136474 
category209,2023/6/1,1082572 
category137,2023/2/1,1066015 
category137,2023/1/1,1052907 
category153,2023/1/1,1035659 
category20,2023/6/1,998721 
category65,2022/7/1,959127 
category153,2023/2/1,913943 
category164,2023/6/1,902611 
category153,2022/8/1,894672 
category153,2022/7/1,893591 
category20,2022/7/1,874100 
category20,2023/1/1,860071 
category40,2022/7/1,844069 
category276,2023/1/1,842452 
category137,2023/3/1,841817 
category40,2023/6/1,840585 
category197,2023/6/1,828850 
category40,2023/3/1,821467 
category137,2023/5/1,816840 
category137,2023/4/1,813666 
category276,2023/6/1,813532 
category2,2022/7/1,811283 
category164,2022/7/1,798561 
category2,2023/1/1,790470 
category65,2023/6/1,780094 
category20,2023/2/1,770605 
category137,2022/9/1,748353 
category40,2023/2/1,739347 
category20,2022/8/1,739007 
category197,2023/5/1,718364 
category197,2023/2/1,717202 
category40,2023/1/1,716685 
category87,2023/1/1,707225 
category102,2023/1/1,705287 
category60,2023/6/1,702849 
category102,2023/6/1,702408 
category2,2023/2/1,699126 
category65,2022/8/1,679229 
category308,2023/2/1,671128 
category308,2023/3/1,659795 
category276,2022/7/1,658859 
category197,2023/1/1,657185 
category197,2023/4/1,656664 
category130,2023/2/1,655199 
category2,2022/8/1,652796 
category2,2023/3/1,650986 
category276,2023/3/1,646711 
category153,2023/3/1,645417 
category60,2022/7/1,639427 
category20,2023/3/1,638687 
category276,2023/2/1,637785 
category20,2022/9/1,637292 
category276,2023/4/1,637023 
category308,2023/5/1,636002 
category276,2023/5/1,628926 
category65,2023/1/1,628789 
category197,2023/3/1,628336 
category279,2023/6/1,624793 
category308,2023/4/1,613699 
category65,2022/9/1,611954 
category276,2022/9/1,610063 
category276,2022/8/1,607660 
category308,2022/7/1,605595 
category40,2022/8/1,603528 
category164,2023/2/1,599986 
category20,2023/5/1,594010 
category65,2023/2/1,585978 
category197,2022/7/1,584434 
category279,2022/7/1,583854 
category164,2023/1/1,578676 
category102,2023/2/1,576453 
category40,2022/9/1,571117 
category279,2023/3/1,567438 
category308,2023/1/1,565508 
category60,2023/1/1,565141 
category2,2022/9/1,564418 
category102,2022/7/1,561977 
category279,2022/8/1,560681 
category130,2023/1/1,559657 
category20,2023/4/1,559506 
category279,2023/5/1,559447 
category2,2023/4/1,558724 
category308,2022/9/1,557901 
category65,2023/5/1,556434 
category279,2023/1/1,554013 
category164,2022/8/1,550120 
category60,2023/5/1,548783 
category65,2023/3/1,547422 
category2,2023/5/1,546004 
category87,2022/7/1,545547 
