仓库,仓容上限,产能上限,仓租日成本
warehouse1,618887,20310,1826.329572
warehouse2,1200847,41117,7073.335959
warehouse3,781957,33857,6018.776948
warehouse4,1112506,35571,11591.77696
warehouse5,42989,61,172.4600314
warehouse6,1200,58,6.949455589
warehouse7,162246,11196,660.839059
warehouse8,225918,9674,1350.818528
warehouse9,860000,20366,7866.288689
warehouse10,1800000,19120,19424.46984
warehouse11,1003754,33794,10130.72269
warehouse12,550000,9485,5609.453282
warehouse13,1851905,65924,1094.83251
warehouse14,371557,3896,974.5320224
warehouse15,809878,28167,8327.808554
warehouse16,556854,25238,3406.910316
warehouse17,1235639,53284,1943.997348
warehouse18,3221987,88454,21757.79848
warehouse19,2405343,108724,24457.11918
warehouse20,814791,43113,2048.010139
warehouse21,938152,28246,3603.119361
warehouse22,650000,15922,1222.404612
warehouse23,2195678,88207,23317.79114
warehouse24,942510,20799,2648.242658
warehouse25,2130472,30530,1830.381476
warehouse26,1223162,24734,1348.808761
warehouse27,1847628,42031,318.7178356
warehouse28,1399259,26705,60.48620111
warehouse29,387074,12749,2219.025736
warehouse30,1497042,33970,4844.854024
warehouse31,1036486,31368,4142.985785
warehouse32,674358,21976,4245.98401
warehouse33,2205232,63328,7546.370072
warehouse34,1106130,50564,8915.200283
warehouse35,1635255,33605,4327.541409
warehouse36,954532,53235,5156.83093
warehouse37,1254913,46009,5041.613797
warehouse38,3130754,31483,25204.09494
warehouse39,820359,33341,4022.233685
warehouse40,4610648,133826,13919.37485
warehouse41,715005,17237,6068.25078
warehouse42,50000,524,188.3156585
warehouse43,505299,36932,3705.553207
warehouse44,890239,51122,4873.098015
warehouse45,558510,26315,247.8200255
warehouse46,1650000,32604,3799.937277
warehouse47,455074,16568,3246.490034
warehouse48,1263760,47892,158.1185327
warehouse49,400000,20701,168.9286855
warehouse50,1800658,36014,5230.25737
warehouse51,875574,33723,4575.406658
warehouse52,787636,32024,20.86321515
warehouse53,348146,15331,3703.207788
warehouse54,380044,3779,4086.192101
warehouse55,517741,26097,4376.562519
warehouse56,1001618,4959,9307.210971
warehouse57,810068,29042,8022.180643
warehouse58,97270,617,894.8579062
warehouse59,250000,4491,1139.786077
warehouse60,6416779,71564,11005.70623
warehouse61,551392,32049,2617.783234
warehouse62,407598,7414,2857.948504
warehouse63,1172350,11286,10724.38965
warehouse64,1323065,19896,10940.00682
warehouse65,600941,9871,476.7369524
warehouse66,555049,18889,909.824751
warehouse67,2825685,9722,12177.69667
warehouse68,1354130,21518,3821.84397
warehouse69,1020000,35933,3766.576164
warehouse70,7572,302,64.96336634
warehouse71,245098,6809,1418.853098
warehouse72,560000,10701,3942.348457
warehouse73,499613,4045,5407.633919
warehouse74,241274,2241,1530.957515
warehouse75,436724,10686,4694.818516
warehouse76,727612,7051,4473.505719
warehouse77,668475,17642,5873.826278
warehouse78,468911,11700,3911.433884
warehouse79,663244,15046,3098.03764
warehouse80,1110560,12820,3360.265893
warehouse81,226837,10405,1398.945075
warehouse82,92843,671,295.1330465
warehouse83,106133,945,445.8644604
warehouse84,542128,16517,57.11354398
warehouse85,202259,4889,2136.006908
warehouse86,69809,2216,723.3276544
warehouse87,224727,3179,175.2965998
warehouse88,380627,12436,854.5696354
warehouse89,88217,2888,267.8803881
warehouse90,103001,338,359.5250614
warehouse91,348315,1039,1117.000016
warehouse92,8091,18,30.82435364
warehouse93,13000,1699,84.12243825
warehouse94,8292,578,14.83348652
warehouse95,1346728,58746,1764.095414
warehouse96,453718,31271,3521.488779
warehouse97,328513,15607,664.5351688
warehouse98,31021,162,267.0837384
warehouse99,467631,23082,881.6241883
warehouse100,400199,36874,4281.54318
warehouse101,41471,3063,49.84319341
warehouse102,2100000,3397,10671.27106
warehouse103,11500000,445991,107298.0659
warehouse104,9481367,177637,84603.93823
warehouse105,4333446,72839,36961.28777
warehouse106,678594,20556,5200.215429
warehouse107,75320,874,760.3712642
warehouse108,833153,53789,1689.443483
warehouse109,2636856,101533,24383.81008
warehouse110,222000,4,2248.215183
warehouse111,920000,32728,966.9633357
warehouse112,1528036,45974,10001.27664
warehouse113,1038218,65436,9821.164644
warehouse114,1495450,37149,14187.52528
warehouse115,4780561,41038,51216.71888
warehouse116,2321407,87365,6912.505605
warehouse117,400000,6549,3075.227457
warehouse118,415159,16940,1452.260836
warehouse119,2178072,46774,7926.788801
warehouse120,600000,9661,5840.089293
warehouse121,1238845,51295,3111.40719
warehouse122,1850399,36034,6540.550396
warehouse123,1481455,26349,13497.87774
warehouse124,1200000,17147,8272.803483
warehouse125,180000,9916,1066.45495
warehouse126,600000,8164,5169.39342
warehouse127,456308,16203,4942.412076
warehouse128,1782357,53551,8020.310483
warehouse129,586800,23054,3753.953291
warehouse130,767141,35321,237.6235009
warehouse131,200475,13285,1416.018053
warehouse132,950012,47356,151.8075657
warehouse133,2078326,80907,7303.465983
warehouse134,13300000,27501,64136.74838
warehouse135,271627,14900,578.7049039
warehouse136,302874,28175,2125.369839
warehouse137,277876,17593,2967.973039
warehouse138,8708,26,59.0610254
warehouse139,13500000,92020,43301.98901
warehouse140,4482310,39201,43424.7885
