品类1,品类2,关联度
category157,category195,103
category157,category226,7448
category157,category60,45
category157,category279,119
category195,category226,3139
category195,category86,370
category195,category307,515
category195,category60,3012
category195,category191,2813
category195,category173,78
category195,category238,148
category195,category185,25
category195,category266,167
category195,category280,46
category195,category263,330
category195,category172,15
category195,category8,18
category195,category196,13
category195,category253,25
category195,category58,94
category195,category285,36
category195,category153,69
category195,category178,13
category195,category271,18
category195,category188,33
category195,category63,98
category195,category331,20
category195,category44,10263
category195,category279,16045
category195,category293,251
category226,category86,279
category226,category307,209
category226,category60,3890
category226,category191,262
category226,category173,3167
category226,category137,12
category226,category238,93
category226,category185,370
category226,category266,276
category226,category280,51
category226,category263,199
category226,category194,141
category226,category8,90
category226,category169,111
category226,category196,206
category226,category253,274
category226,category165,20
category226,category58,135
category226,category285,112
category226,category151,97
category226,category258,16
category226,category153,149
category226,category188,181
category226,category63,127
category226,category24,75
category226,category331,55
category226,category44,312
category226,category279,4080
category226,category293,30
category333,category60,969
category333,category266,282
category333,category280,757
category333,category263,9948
category333,category172,26
category106,category195,2187
category106,category173,49
category248,category157,39
category248,category195,1281
category248,category226,11634
category248,category106,38
category248,category70,86
category248,category86,160
category248,category60,587
category248,category191,390
category248,category173,1559
category248,category238,13
category248,category266,163
category248,category280,15
category248,category263,336
category248,category194,13
category248,category8,12
category248,category58,12
category248,category151,19
category248,category268,22
category248,category153,18
category248,category188,32
category248,category63,299
category248,category331,35
category248,category44,549
category248,category279,1375
category248,category109,6139
category70,category195,122
category70,category226,160
category70,category106,103
category70,category86,59
category70,category60,109
category70,category173,70
category70,category279,20
category86,category307,4768
category86,category60,6627
category86,category191,61
category86,category173,125
category86,category272,56
category86,category266,30
category86,category196,22
category86,category253,87
category86,category165,167
category86,category153,30
category86,category127,31
category86,category188,12
category86,category44,224
category86,category279,2240
category307,category60,5359
category307,category191,645
category307,category173,70
category307,category169,18
category307,category178,33
category307,category127,19
category307,category44,14
category307,category279,119
category60,category191,4705
category60,category173,1001
category60,category272,3740
category60,category266,695
category60,category280,360
category60,category263,200
category60,category172,15
category60,category194,366
category60,category19,11
category60,category8,83
category60,category169,103
category60,category196,126
category60,category253,90
