品类,高级品类,件型
category165,high_category1,B
category204,high_category2,A
category134,high_category3,A
category110,high_category4,A
category199,high_category5,B
category26,high_category6,C
category304,high_category7,A
category287,high_category6,B
category227,high_category8,C
category57,high_category5,B
category262,high_category3,C
category150,high_category9,A
category313,high_category10,B
category94,high_category11,C
category67,high_category12,A
category78,high_category5,B
category280,high_category9,B
category86,high_category13,B
category8,high_category1,B
category312,high_category14,C
category66,high_category14,C
category235,high_category8,B
category127,high_category5,B
category289,high_category5,B
category53,high_category2,C
category37,high_category15,C
category216,high_category8,B
category286,high_category3,B
category207,high_category16,C
category144,high_category17,A
category173,high_category13,B
category311,high_category18,C
category149,high_category8,C
category103,high_category19,A
category13,high_category3,B
category273,high_category8,B
category301,high_category8,C
category285,high_category11,C
category142,high_category4,A
category268,high_category11,C
category18,high_category5,B
category59,high_category20,C
category220,high_category8,C
category163,high_category3,C
category119,high_category6,A
category255,high_category2,A
category171,high_category21,A
category88,high_category22,C
category191,high_category13,C
category201,high_category8,C
category164,high_category23,C
category137,high_category13,B
category99,high_category8,C
category106,high_category24,A
category237,high_category21,C
category320,high_category3,C
category175,high_category15,B
category122,high_category6,A
category58,high_category11,B
category64,high_category3,C
category300,high_category25,C
category91,high_category3,C
category104,high_category26,B
category14,high_category8,C
category81,high_category5,B
category321,high_category6,C
category65,high_category27,A
category281,high_category22,B
category52,high_category22,C
category117,high_category4,A
category32,high_category3,C
category69,high_category4,A
category206,high_category4,A
category25,high_category3,C
category302,high_category4,A
category136,high_category3,C
category49,high_category8,C
category198,high_category14,C
category291,high_category2,A
category241,high_category6,B
category240,high_category3,B
category263,high_category9,C
category184,high_category28,C
category324,high_category3,C
category9,high_category20,C
category35,high_category23,B
category214,high_category3,A
category154,high_category23,C
category3,high_category29,C
category307,high_category13,C
category230,high_category4,A
category2,high_category27,C
category72,high_category21,A
category44,high_category30,C
category181,high_category8,C
category15,high_category6,C
category75,high_category4,A
category1,high_category3,A
category143,high_category6,C
category54,high_category14,C
category83,high_category15,C
category98,high_category31,C
category155,high_category8,C
category283,high_category6,B
category96,high_category12,C
category244,high_category32,A
category261,high_category11,C
category223,high_category21,A
category7,high_category4,A
category28,high_category4,A
