品类,时间,库存量
category286,2022/10/1-2022/10/15,167979
category144,2022/10/1-2022/10/15,4002
category342,2022/10/1-2022/10/15,326
category321,2022/10/1-2022/10/15,49446
category189,2022/10/1-2022/10/15,7244
category314,2022/10/1-2022/10/15,1003
category121,2022/10/1-2022/10/15,77981
category118,2022/10/1-2022/10/15,31340
category45,2022/10/1-2022/10/15,65192
category208,2022/10/1-2022/10/15,86161
category27,2022/10/1-2022/10/15,35377
category289,2022/10/1-2022/10/15,2208
category157,2022/10/1-2022/10/15,29525
category276,2022/10/1-2022/10/15,840902
category310,2022/10/1-2022/10/15,1391
category294,2022/10/1-2022/10/15,72
category194,2022/10/1-2022/10/15,34562
category252,2022/10/1-2022/10/15,9299
category77,2022/10/1-2022/10/15,155070
category237,2022/10/1-2022/10/15,290997
category243,2022/10/1-2022/10/15,521207
category322,2022/10/1-2022/10/15,53856
category105,2022/10/1-2022/10/15,25159
category209,2022/10/1-2022/10/15,1601840
category288,2022/10/1-2022/10/15,11
category264,2022/10/1-2022/10/15,5159
category192,2022/10/1-2022/10/15,78583
category3,2022/10/1-2022/10/15,3045
category56,2022/10/1-2022/10/15,57959
category260,2022/10/1-2022/10/15,44
category57,2022/10/1-2022/10/15,654
category318,2022/10/1-2022/10/15,22245
category170,2022/10/1-2022/10/15,24
category281,2022/10/1-2022/10/15,58809
category163,2022/10/1-2022/10/15,29168
category139,2022/10/1-2022/10/15,12829
category171,2022/10/1-2022/10/15,98543
category58,2022/10/1-2022/10/15,172400
category316,2022/10/1-2022/10/15,128392
category262,2022/10/1-2022/10/15,196405
category113,2022/10/1-2022/10/15,2353
category311,2022/10/1-2022/10/15,6707
category214,2022/10/1-2022/10/15,14753
category80,2022/10/1-2022/10/15,79812
category270,2022/10/1-2022/10/15,5695
category60,2022/10/1-2022/10/15,749180
category84,2022/10/1-2022/10/15,2736563
category211,2022/10/1-2022/10/15,9036
category79,2022/10/1-2022/10/15,42308
category111,2022/10/1-2022/10/15,4721
category308,2022/10/1-2022/10/15,724093
category110,2022/10/1-2022/10/15,11067
category233,2022/10/1-2022/10/15,41860
category272,2022/10/1-2022/10/15,10813
category42,2022/10/1-2022/10/15,2150689
category40,2022/10/1-2022/10/15,871032
category122,2022/10/1-2022/10/15,51757
category313,2022/10/1-2022/10/15,204933
category239,2022/10/1-2022/10/15,24459
category68,2022/10/1-2022/10/15,1398
category36,2022/10/1-2022/10/15,221
category275,2022/10/1-2022/10/15,44305
category296,2022/10/1-2022/10/15,39513
category331,2022/10/1-2022/10/15,1203
category140,2022/10/1-2022/10/15,24881
category142,2022/10/1-2022/10/15,682
category344,2022/10/1-2022/10/15,446
category188,2022/10/1-2022/10/15,161559
category199,2022/10/1-2022/10/15,735
category340,2022/10/1-2022/10/15,4152
category101,2022/10/1-2022/10/15,2752
category10,2022/10/1-2022/10/15,338
category195,2022/10/1-2022/10/15,295071
