品类,日期,销量
category289,2022/10/11,32
category248,2022/10/11,1382
category34,2022/10/12,85
category108,2022/10/11,202
category180,2022/10/11,28
category174,2022/10/11,49
category72,2022/10/11,1520
category59,2022/10/11,72
category111,2022/10/11,34
category177,2022/10/11,61
category1,2022/10/11,30
category276,2022/10/11,9494
category300,2022/10/11,405
category209,2022/10/11,5761
category47,2022/10/11,595
category236,2022/10/12,541
category20,2022/10/11,11486
category138,2022/10/11,187
category239,2022/10/11,436
category39,2022/10/11,27
category243,2022/10/11,7861
category38,2022/10/11,60
category158,2022/10/11,83
category69,2022/10/11,4
category316,2022/10/11,386
category284,2022/10/11,183
category275,2022/10/12,304
category155,2022/10/11,43
category146,2022/10/11,558
category26,2022/10/11,396
category78,2022/10/11,113
category12,2022/10/12,497
category15,2022/10/11,886
category280,2022/10/11,3785
category173,2022/10/12,774
category110,2022/10/11,116
category164,2022/10/12,10131
category101,2022/10/11,42
category140,2022/10/11,134
category153,2022/10/11,9152
category169,2022/10/12,1073
category20,2022/10/12,11280
category204,2022/10/11,48
category27,2022/10/11,88
category233,2022/10/11,479
category171,2022/10/12,1112
category271,2022/10/11,207
category121,2022/10/11,875
category87,2022/10/13,7096
category183,2022/10/11,1435
category263,2022/10/11,2982
category314,2022/10/11,14
category303,2022/10/11,600
category198,2022/10/12,17507
category12,2022/10/11,389
category271,2022/10/12,164
category88,2022/10/11,177
category171,2022/10/11,1251
category71,2022/10/11,439
category325,2022/10/11,1346
category24,2022/10/12,940
category190,2022/10/11,1217
category113,2022/10/11,8
category64,2022/10/11,47
category118,2022/10/11,374
category235,2022/10/11,8
category123,2022/10/11,276
category148,2022/10/11,334
category156,2022/10/11,234
category109,2022/10/12,397
category225,2022/10/11,17520
category218,2022/10/11,84
category225,2022/10/12,17939
category3,2022/10/11,41
category241,2022/10/11,808
category30,2022/10/12,3472
category172,2022/10/11,310
category309,2022/10/11,11
category229,2022/10/11,255
category51,2022/10/11,844
category282,2022/10/11,1311
category277,2022/10/11,84
category129,2022/10/11,182
category331,2022/10/11,22
category40,2022/10/11,8068
category63,2022/10/11,2806
category233,2022/10/12,540
category151,2022/10/11,1688
category258,2022/10/11,541
category222,2022/10/11,62
category214,2022/10/11,57
category307,2022/10/12,1221
category6,2022/10/11,2
category241,2022/10/12,647
category245,2022/10/11,4988
category226,2022/10/11,1197
category36,2022/10/11,3
category279,2022/10/14,7267
category104,2022/10/11,1640
category2,2022/10/11,7269
category30,2022/10/11,3419
category248,2022/10/12,1215
category256,2022/10/11,127
category107,2022/10/11,383
category224,2022/10/11,37
category192,2022/10/12,709
category240,2022/10/11,588
category173,2022/10/11,802
category175,2022/10/11,16
category305,2022/10/11,74
category335,2022/10/11,7
category4,2022/10/11,28
category218,2022/10/12,109
category299,2022/10/11,837
category116,2022/10/11,105
category34,2022/10/11,82
category313,2022/10/11,2797
category79,2022/10/11,68
category276,2022/10/12,8036
category119,2022/10/11,1
category194,2022/10/11,286
category124,2022/10/11,1699
category321,2022/10/11,317
category266,2022/10/12,1963
category305,2022/10/12,52
category319,2022/10/11,2
category154,2022/10/11,1088
category318,2022/10/11,2
category185,2022/10/11,3171
category169,2022/10/11,1105
category63,2022/10/12,2436
category236,2022/10/11,371
category50,2022/10/11,7
category200,2022/10/11,2822
category228,2022/10/11,202
category165,2022/10/11,969
category56,2022/10/11,372
category65,2022/10/14,9753
category176,2022/10/11,89
category283,2022/10/12,2169
category125,2022/10/11,81
category143,2022/10/11,453
category297,2022/10/11,156
category161,2022/10/12,1482
category86,2022/10/11,2025
category18,2022/10/11,66
category290,2022/10/11,21
category253,2022/10/11,1305
category178,2022/10/11,106
category267,2022/10/11,17
category334,2022/10/11,5
category40,2022/10/12,8574
category80,2022/10/11,272
category191,2022/10/12,1728
category137,2022/10/12,15270
category91,2022/10/11,6
category247,2022/10/11,404
category251,2022/10/11,40
category237,2022/10/12,2678
category188,2022/10/12,1841
category84,2022/10/12,37792
category262,2022/10/11,733
category212,2022/10/11,58
category23,2022/10/11,1
category237,2022/10/11,2397
category158,2022/10/12,93
category320,2022/10/11,19
category198,2022/10/11,1885
category97,2022/10/12,1466
category105,2022/10/11,15
category127,2022/10/12,124
category22,2022/10/11,33
category97,2022/10/11,1351
category220,2022/10/11,12
category70,2022/10/11,398
category124,2022/10/12,1716
category29,2022/10/11,462
category306,2022/10/11,49
category205,2022/10/11,134
category184,2022/10/12,295
category137,2022/10/11,13841
category196,2022/10/11,1613
category144,2022/10/11,97
category19,2022/10/11,52
category16,2022/10/11,371
category99,2022/10/11,24
category61,2022/10/12,2466
category116,2022/10/12,125
category45,2022/10/11,335
category207,2022/10/11,0
category263,2022/10/12,2988
category117,2022/10/11,18
category76,2022/10/11,113
category11,2022/10/11,35
category203,2022/10/12,2025
category15,2022/10/12,866
category311,2022/10/11,38
category186,2022/10/11,321
category252,2022/10/11,37
category324,2022/10/11,201
category35,2022/10/12,712
category68,2022/10/11,19
category89,2022/10/12,902
category152,2022/10/11,486
category227,2022/10/11,131
category133,2022/10/11,21
category227,2022/10/12,146
category128,2022/10/11,855
category13,2022/10/11,164
category77,2022/10/12,1213
category270,2022/10/12,110
category178,2022/10/12,69
category61,2022/10/11,2592
category87,2022/10/11,8807
category278,2022/10/11,26
category312,2022/10/11,2
category211,2022/10/11,23
category100,2022/10/11,119
category112,2022/10/11,58
category48,2022/10/11,3378
category184,2022/10/11,452
category2,2022/10/12,8106
category292,2022/10/11,49
category90,2022/10/11,10
category197,2022/10/11,249
category86,2022/10/12,2205
category203,2022/10/11,1725
category208,2022/10/11,993
category323,2022/10/11,74
category147,2022/10/11,16
category333,2022/10/11,0
category121,2022/10/12,964
category43,2022/10/11,218
category160,2022/10/11,647
category52,2022/10/11,176
category93,2022/10/11,945
category74,2022/10/11,58
category200,2022/10/12,2343
category270,2022/10/11,117
category49,2022/10/11,210
category85,2022/10/11,141
category109,2022/10/11,397
category273,2022/10/12,947
category94,2022/10/11,427
category283,2022/10/11,2198
category190,2022/10/12,1160
category206,2022/10/11,5
category95,2022/10/11,1372
category232,2022/10/11,419
category179,2022/10/11,18
category126,2022/10/11,15
category296,2022/10/11,208
category295,2022/10/11,111
category264,2022/10/11,135
category325,2022/10/12,1151
category185,2022/10/12,3406
category261,2022/10/11,268
category293,2022/10/11,136
category70,2022/10/12,514
category153,2022/10/12,9212
category275,2022/10/11,410
category134,2022/10/11,0
category195,2022/10/11,2530
category162,2022/10/11,14
category130,2022/10/12,6400
category279,2022/10/15,6895
category8,2022/10/11,555
category25,2022/10/11,44
category164,2022/10/11,8709
category46,2022/10/11,190
category66,2022/10/11,13
category81,2022/10/11,24
category286,2022/10/11,764
category195,2022/10/12,2443
category14,2022/10/12,89
category44,2022/10/11,3418
category32,2022/10/11,1182
category14,2022/10/11,75
